CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
DNK.1.0.0.0.UBGS;Denmark;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd DKK;-0.5150;-0.7430;-1.6240;0.1570;-1.2830;-1.0850;-1.2960;-1.8830;-1.4020;-2.3990;-3.6280;-2.8710;-0.6590;-3.5210;-6.9720;-2.2320;-12.2110;-10.6620;-7.3780;-8.8170;-1.8050;6.2010;4.5740;12.2540;10.2640;5.1450;-1.4190;15.3780;27.0390;31.1850;47.5360;55.3790;63.7510;69.8900;58.8350;48.8120;61.6200;49.9400;36.4570;74.4870;89.0440;97.9330;96.6320;97.6290;85.0760;87.3000;68.8610;50.3790;63.4730;77.4460;125.7850;118.0970;114.0790;127.5030;137.9350;138.2300;141.5040;154.5650;118.5040;128.9085;132.9704                                                                                                                                                                                                                                                                                        
DEU.1.0.0.0.UBGS;Germany;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-DEM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8.1340;-8.8600;1.1280;3.6070;8.8900;15.8050;23.2690;26.7190;14.7230;5.6950;38.4430;96.6580;81.3400;114.4560;116.4170;126.8070;167.1120;153.0600;121.5220;134.1030;132.1450;167.9870;168.4250;203.4790;244.1380;247.4680;247.7920;229.2150;213.3094;214.2801                                                                                                                                                                                                                                                                                                                                                                                                                                          
D_W.1.0.0.0.UBGS;West Germany;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-DEM;3.90627;3.80401;2.34172;3.00640;3.31317;0.66468;4.21816;9.19814;9.87816;8.55391;7.71000;6.73000;7.82000;13.27000;21.33000;13.06000;11.86000;13.10000;15.25000;2.64000;-5.07000;4.54000;18.96000;14.89000;21.23000;33.82000;51.36000;51.70000;55.38000;59.10000;72.53000;76.64000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                       
EST.1.0.0.0.UBGS;Estonia;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-EEK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.059304;-0.208052;-0.208460;-0.383410;-0.470400;-0.488090;-0.237050;-0.200020;-0.276200;-0.579370;-0.739110;-0.764600;-0.574920;-1.371690;-1.441760;-0.648710;0.701600;0.935430;0.954970;0.278080;0.532310;0.713360;0.827620;0.882910;1.075600;0.903850;0.871346;0.860200                                                                                                                                                                                                                                                                                                                                                                                                                     
IRL.1.0.0.0.UBGS;Ireland;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-IEP;-0.0434;-0.0444;-0.0622;-0.0726;-0.0870;-0.1101;-0.0762;-0.0428;-0.1012;-0.1641;-0.1646;-0.1712;-0.1522;-0.2344;-0.5545;-0.2920;-0.4695;-0.6600;-0.8502;-1.6491;-1.6015;-2.0488;-1.2459;-0.5239;-0.0573;0.4340;0.5699;1.4904;2.1991;2.2849;1.6789;1.8759;3.0532;4.5893;4.5995;5.9889;6.5837;8.3143;8.7474;12.1084;14.9988;19.0557;23.3639;22.0544;22.4446;18.5290;14.8812;16.3109;16.1571;22.9205;27.8719;32.1604;30.6142;33.7884;35.1854;75.6788;42.3534;89.2874;99.4537;104.1372;109.3619                                                                                                                                                                                                                                                                                                        
GRC.1.0.0.0.UBGS;Greece;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-GRD;-0.01567;-0.01756;-0.02645;-0.02931;-0.04824;-0.05800;-0.04255;-0.04530;-0.06171;-0.07253;-0.07132;-0.07367;-0.08482;-0.13148;-0.11504;-0.13910;-0.16405;-0.18988;-0.19457;-0.19575;-0.25444;-0.15935;-0.55789;-0.77124;-0.81438;-1.15774;-1.15774;-0.99927;-1.54952;-2.53720;-3.83947;-4.57521;-4.54996;-5.09376;-4.44138;-7.68455;-9.19326;-7.83450;-12.11929;-11.86096;-15.50742;-16.07545;-16.54760;-19.86003;-16.43139;-16.49010;-22.88030;-29.04921;-30.50671;-23.22959;-19.49451;-14.02370;-8.50815;-5.08051;-4.29379;0.09108;-1.25842;-1.83779;-0.48254;-1.13667;-0.61206                                                                                                                                                                                                                   
ESP.1.0.0.0.UBGS;Spain;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-ESP;0.11179;0.02284;-0.05529;-0.15446;-0.19827;-0.44353;-0.48415;-0.39188;-0.26948;-0.27227;-0.15206;0.15037;0.04261;-0.20125;-1.48699;-1.38934;-1.94319;-1.13198;0.53420;0.23698;-2.24238;-2.24778;-2.25740;-1.11728;3.09702;3.06095;3.64514;-0.25122;-3.39933;-9.66488;-10.82483;-11.17041;-10.66496;-2.93835;-0.61965;-4.44000;-0.44700;1.11500;-2.75800;-11.55100;-19.42300;-16.43700;-15.20000;-17.81100;-33.20500;-46.52400;-59.62500;-64.75100;-57.20600;-12.41300;-14.10600;-2.63200;15.27300;33.39100;25.21400;25.22700;35.27900;33.99100;23.60100;23.86355;24.72936                                                                                                                                                                                                                            
FRA.1.0.0.0.UBGS;France;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-FRF;1.14000;1.09000;0.69100;0.44400;0.13000;0.90500;0.50000;0.33300;0.16300;-0.44800;0.68300;1.33800;1.21400;1.15500;-2.29300;2.29900;-2.53400;-0.51800;3.65000;1.58600;-6.94600;-7.50300;-14.38600;-1.73800;0.91300;-2.78800;-0.98600;-9.39900;-6.09500;-6.83500;-8.26600;-3.42700;7.57200;19.18800;17.63200;19.48900;22.31400;38.95000;37.12600;33.51400;19.64600;24.18700;31.59900;23.25500;17.25600;1.50800;-4.31200;-13.86600;-23.07800;-15.32400;-25.76300;-40.09500;-27.07100;-21.90400;-24.62400;-12.45300;-18.22900;-25.27000;-20.89600;-19.92608;-21.76515                                                                                                                                                                                                                                    
HRV.1.0.0.0.UBGS;Croatia;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd HRK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-9.69903;-8.40156;-18.94433;-10.99147;-10.06762;-5.49169;-6.83819;-16.66406;-17.28676;-15.09295;-16.58061;-19.84266;-23.42369;-27.95438;-12.29597;-1.38678;-1.53718;1.56364;1.52627;6.35489;8.03893;9.78876;8.21805;5.22086;2.08996;-0.34277                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ITA.1.0.0.0.UBGS;Italy;01 Balances with the rest of the world, national accounts;Net exports of goods and services at current prices (National accounts) ;Mrd EURO-ITL;-0.03238;0.00088;-0.07658;-0.38979;0.04134;0.51092;0.46140;0.30873;0.62021;0.50170;0.08896;0.31345;0.36317;-0.96688;-2.49638;0.08250;-1.02236;1.17154;2.95149;1.87332;-5.40651;-4.81080;-3.63576;1.82825;-1.46294;-1.55438;6.35112;2.39069;0.45869;0.07120;1.44846;0.71949;-0.84393;25.67263;29.92720;36.18790;47.38750;40.53020;34.46690;20.81070;10.42290;16.30470;10.03890;6.29760;8.43180;-1.64600;-12.95050;-5.78230;-12.87640;-10.31690;-31.59570;-25.71300;15.93660;36.24120;46.27490;47.88700;54.13350;50.30360;43.96060;40.35115;40.21104                                                                                                                                                                                                                                                   
