iso3c,year,fdi_net_inflow_GDP,fdi_net_outflow_GDP,tax_rev_total_GDP,tax_rev_trade_TAX,tax_rev_inc_profits_TAX,trade_total_GDP,trade_exp_GDP,trade_imp_GDP,RD_expend_GDP,RD_scientists,wgi_accountability,wgi_regul_quality,wgi_rule_of_law,wgi_pol_stability,wgi_gov_effectvn,wgi_control_corrupt,empl_ind,empl_agr,empl_serv,empl_self,unemp_youth_neet,VA_industry_gdp,VA_manufct_gdp,current_account_GDP_WB,population,res_rents,gdp_real_lcu,gdp_real_lcu_growth,gdp_real_pc_lcu,gdp_real_pc_lcu_growth,gdp_real_usd,gdp_real_pc_usd,gdp_nom_lcu,gdp_nom_pc_lcu,gdp_nom_usd,gdp_nom_pc_usd,gdp_real_ppp,gdp_real_pc_ppp,gdp_nom_ppp,gdp_nom_pc_ppp,gini_post_tax,gini_pre_tax,cap_form,cpi,current_account_GDP_ameco,nulc_eur,nulc_lcu,rulc,unemp_rate,wage_share,interest_long_term,debt_corp_nf_percGDP,debt_corp_f_percGDP,debt_gen_gov_percGDP,debt_hh_npish_percGDI,total_debt_percGDP,average_wages,debt_gen_gvt_gross,eci_mit,eci_mit_plus,eci_harv_hs,eci_harc_coi_hs,eci_harv_sitc,eci_harc_coi_sitc
ARG,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,44.8,,,,,,,,,,,,,,,,,,,,,,
ARG,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,45.1,,,,,,,,,,,,,,,,,,,,,,
ARG,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,45.3,,,,,,,,,,,,,,,,,,,,,,
ARG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,45.4,,,,,,,,,,,,,,,,,,,,,,
ARG,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,45.4,,,,,,,,,,,,,,,,,,,,,,
ARG,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,45,,,,,,,,,,,,,,,,,,,,,,
ARG,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,44.4,,,,,,,,,,,,,,,,,,,,,,
ARG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,43.8,,,,,,,,,,,,,,,,,,,,,,
ARG,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,43.1,,,,,,,,,,,,,,,,,,,,,,
ARG,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,42.4,,,,,,,,,,,,,,,,,,,,,,
ARG,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,41.7,,,,,,,,,,,,,,,,,,,,,,
ARG,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,41.3,,,,,,,,,,,,,,,,,,,,,,
ARG,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,40.7,,,,,,,,,,,,,,,,,,,,,,
ARG,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,40.2,,,,,,,,,,,,,,,,,,,,,,
ARG,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,39.8,,,,,,,,,,,,,,,,,,,,,,
ARG,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,39.4,,,,,,,,,,,,,,,,,,,,,,
ARG,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,39,,,,,,,,,,,,,,,,,,,,,,
ARG,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,38.7,,,,,,,,,,,,,,,,,,,,,,
ARG,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,38.6,,,,,,,,,,,,,,,,,,,,,,
ARG,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,38.6,,,,,,,,,,,,,,,,,,,,,,
ARM,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,45.1,,,,,,,,,,,,,,,,,,,,,,
ARM,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,45.3,,,,,,,,,,,,,,,,,,,,,,
ARM,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,45.9,,,,,,,,,,,,,,,,,,,,,,
ARM,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,46.6,,,,,,,,,,,,,,,,,,,,,,
ARM,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,47.3,,,,,,,,,,,,,,,,,,,,,,
ARM,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,47.9,,,,,,,,,,,,,,,,,,,,,,
ARM,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,48.6,,,,,,,,,,,,,,,,,,,,,,
