COUNTRY,obsTime,obsValue
POL,1998,18462.0145766306
POL,1999,20056.1491644252
POL,2000,20147.8625348615
POL,2001,21299.1871928095
POL,2002,21242.3771166165
POL,2003,21503.059035182
POL,2004,20874.2975558407
POL,2005,20794.3468125372
POL,2006,20957.6426329847
POL,2007,21478.3917876024
POL,2008,22713.4762457927
POL,2009,22671.3399301802
POL,2010,23608.3123668669
POL,2011,23610.1908707761
POL,2012,23401.8733028706
POL,2013,23668.8068490314
POL,2014,24150.7821003733
POL,2015,24680.0727838435
POL,2016,25878.9078035933
POL,2017,27046.0965519544
PRT,1995,23357.386707181
PRT,1996,24219.345339389
PRT,1997,24851.5772083878
PRT,1998,25166.107427274
PRT,1999,26020.8231151439
PRT,2000,26382.6818072278
PRT,2001,26498.2398515119
PRT,2002,26485.4405534098
PRT,2003,26416.3273275236
PRT,2004,26461.8904452759
PRT,2005,26309.5010320797
PRT,2006,25740.0227038482
PRT,2007,25921.4741746659
PRT,2008,25837.2573928631
PRT,2009,27030.7771469246
PRT,2010,26927.4326676759
PRT,2011,26287.2650544373
PRT,2012,25151.4025188665
PRT,2013,25668.1580696662
PRT,2014,25216.9176245415
PRT,2015,25164.4538074836
PRT,2016,25362.3486242956
PRT,2017,25366.5016777539
SVK,1994,11324.247092863
SVK,1995,12195.0521875602
SVK,1996,13219.1750049494
SVK,1997,15019.9486078241
SVK,1998,15629.4184989204
SVK,1999,15300.2875613941
SVK,2000,15860.9430942746
SVK,2001,15849.7506797
SVK,2002,16682.7188341025
SVK,2003,17046.3233803955
SVK,2004,17326.5170228168
SVK,2005,18451.3491513449
SVK,2006,19062.750121782
SVK,2007,20234.8556847824
SVK,2008,20435.9911417666
SVK,2009,21124.6371093895
SVK,2010,22055.1138478167
SVK,2011,21859.1682180707
SVK,2012,21618.1639308971
SVK,2013,21781.5919924479
SVK,2014,22204.1224095907
SVK,2015,23025.8893546157
SVK,2016,23800.8915746605
SVK,2017,24327.9817571446
ESP,1990,34387.967732063
ESP,1991,35237.7782264296
ESP,1992,36231.2560891
ESP,1993,36516.2178114127
ESP,1994,36611.7757987103
ESP,1995,36454.2541763491
ESP,1996,36986.1077496787
ESP,1997,37010.2433287786
ESP,1998,37077.4193502244
ESP,1999,36944.773986993
ESP,2000,36327.474198719
ESP,2001,36319.6843094585
ESP,2002,36587.8584177117
ESP,2003,36489.1663775057
ESP,2004,36112.4325430631
ESP,2005,36322.3907570678
ESP,2006,36184.8195886938
ESP,2007,36658.7314885221
ESP,2008,38133.8682520624
ESP,2009,40716.8754243301
ESP,2010,40018.0521033902
ESP,2011,39450.9332208976
ESP,2012,38328.2306393488
ESP,2013,38415.6997772412
ESP,2014,38422.0115045553
ESP,2015,39338.9353619615
ESP,2016,39196.0989726629
ESP,2017,38507.4944144873
SWE,1990,28150.0898115224
SWE,1991,26790.2436263977
SWE,1992,27627.1736748472
SWE,1993,27299.5496018369
SWE,1994,27974.3399137069
SWE,1995,28025.8027563742
SWE,1996,29462.1062707744
SWE,1997,30502.6783916694
SWE,1998,31342.0036432484
SWE,1999,32152.0147036384
SWE,2000,32983.9932294897
SWE,2001,33167.4158821938
SWE,2002,33441.1005552438
SWE,2003,33855.7729169988
SWE,2004,34887.1925126655
SWE,2005,35567.6607114226
SWE,2006,36425.8141045282
SWE,2007,37600.92179894
SWE,2008,38121.9709734893
SWE,2009,38371.535363473
SWE,2010,38600.5854391631
SWE,2011,39085.1372344394
SWE,2012,39948.5824335321
SWE,2013,40366.1406882961
SWE,2014,40777.796931324
SWE,2015,41467.0510335515
SWE,2016,42154.4897851354
SWE,2017,42392.7553925393
GBR,1990,30750.3494837456
GBR,1991,30736.3468061971
GBR,1992,31352.3252528894
GBR,1993,31870.6398430204
GBR,1994,32452.809002591
GBR,1995,32492.3553037273
GBR,1996,32496.0191072832
GBR,1997,33477.8787911459
GBR,1998,35071.6470295453
GBR,1999,36404.6010286038
GBR,2000,38110.3578014889
GBR,2001,40036.0948698333
GBR,2002,40690.3540371997
GBR,2003,41771.1705897227
GBR,2004,42751.4963705009
GBR,2005,42630.4673885108
GBR,2006,43627.4311733532
GBR,2007,44897.2303133629
GBR,2008,43724.120889231
GBR,2009,44464.9501967215
GBR,2010,44520.5286411349
GBR,2011,43369.939455965
GBR,2012,43105.0849175443
GBR,2013,43153.9886368667
GBR,2014,42781.9138848303
GBR,2015,43152.1720562389
GBR,2016,43712.6196635994
GBR,2017,43731.542692694
SVN,1995,22481.1388050514
SVN,1996,23647.9966609096
SVN,1997,24930.2825709212
SVN,1998,25257.8174158224
SVN,1999,25726.7118567803
SVN,2000,26448.466236896
SVN,2001,27513.2132372695
SVN,2002,27595.6070870453
SVN,2003,28175.5468978229
SVN,2004,29571.7837338513
SVN,2005,30688.7464394495
SVN,2006,31678.341063254
SVN,2007,32368.2361644724
SVN,2008,32855.6071457923
SVN,2009,33166.4974124456
SVN,2010,34188.9046748403
SVN,2011,34047.0133538648
SVN,2012,32965.3872791306
SVN,2013,32506.3604595362
SVN,2014,33045.4909388131
SVN,2015,33699.331893987
SVN,2016,34732.3770193207
SVN,2017,34932.728296191
EST,1995,9098.74095446408
EST,1996,9457.49367781407
EST,1997,10346.0293279511
EST,1998,10968.2957850401
EST,1999,11388.5520996683
EST,2000,12247.7773889792
EST,2001,12727.4447426487
EST,2002,13499.735464309
EST,2003,14719.4814369256
EST,2004,15820.0538824489
EST,2005,16771.1021151021
EST,2006,18191.2590458325
EST,2007,21124.6968595723
EST,2008,21396.4194937383
EST,2009,20673.085769525
EST,2010,20561.4025969941
EST,2011,19714.8326896726
EST,2012,20531.8185148096
EST,2013,20823.7751549607
EST,2014,21970.6710567653
EST,2015,22839.678852084
EST,2016,23935.4331284194
EST,2017,24335.9751038841
LVA,1996,8974.63885392986
LVA,1997,9392.27178073153
LVA,1998,9687.41531846652
LVA,1999,10098.2470861051
LVA,2000,10641.7357244874
LVA,2001,11002.3866211088
LVA,2002,10653.6390969875
LVA,2003,11446.2619218138
LVA,2004,12393.7716823549
LVA,2005,14424.9804623243
LVA,2006,15923.0248975676
LVA,2007,19642.1805360479
LVA,2008,20291.6227742549
LVA,2009,18321.4595582997
LVA,2010,17601.0895696464
LVA,2011,16987.9452726834
LVA,2012,17698.7430288766
LVA,2013,18546.0195288616
LVA,2014,19783.0492501142
LVA,2015,21587.446375434
LVA,2016,22726.2934400428
LVA,2017,23683.2583014375
