code,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj
AUT,1970,66.1116485595703,69.8286285400391,62.3946647644043,54.107666015625,50.1691246032715,58.046199798584,56.9643859863281,49.7418479919434,64.1869201660156,51.2509384155274,50.5964012145996,51.9054832458496
AUT,1971,66.5621871948242,70.1150588989258,63.0093002319336,54.4804496765137,50.9146957397461,58.046199798584,56.8714790344238,49.5560340881348,64.1869201660156,52.0894203186035,52.273365020752,51.9054832458496
AUT,1972,67.0732116699219,70.1740036010742,63.9724044799805,54.9560623168945,51.1100234985352,58.8021011352539,57.6273803710938,49.5560340881348,65.6987228393555,52.2847442626953,52.6640129089356,51.9054832458496
AUT,1973,68.3186721801758,71.4652862548828,65.1720352172852,55.3964920043945,50.575813293457,60.2171669006348,58.1393547058106,49.7418479919434,66.536865234375,52.653621673584,51.409782409668,53.8974685668945
AUT,1974,69.4182586669922,72.8186721801758,66.0178375244141,56.8994293212891,53.0790710449219,60.7197875976563,60.4783706665039,53.4146423339844,67.542106628418,53.320484161377,52.7435035705566,53.8974685668945
AUT,1975,69.3682098388672,72.4950332641602,66.2413787841797,56.8841285705566,52.2107658386231,61.557487487793,59.9679336547852,50.7183609008789,69.2175064086914,53.8003196716309,53.7031745910645,53.8974685668945
AUT,1976,70.2013549804688,73.7162475585938,66.6864700317383,59.1072120666504,55.9534149169922,62.2610130310059,61.8159942626953,53.0074310302734,70.6245574951172,56.3984336853027,58.8994026184082,53.8974685668945
AUT,1977,71.3087844848633,75.5223846435547,67.0951843261719,59.1103134155274,55.5911712646484,62.6294555664063,61.5914154052734,51.8213844299316,71.361442565918,56.6292114257813,59.3609619140625,53.8974685668945
AUT,1978,71.8235092163086,76.1820983886719,67.4649124145508,59.8353309631348,56.1701431274414,63.5005226135254,61.8813133239746,50.6590538024902,73.1035766601563,57.7893447875977,61.6812248229981,53.8974685668945
AUT,1979,71.8218612670898,76.1165618896484,67.5271453857422,60.2179641723633,56.5335960388184,63.9023284912109,62.9512634277344,51.9953346252441,73.9071884155274,57.4846572875977,61.0718498229981,53.8974685668945
AUT,1980,72.3764953613281,76.7516937255859,68.0012969970703,61.3295516967774,57.6563453674316,65.0027694702149,64.6139984130859,53.5727996826172,75.6552047729492,58.045108795166,61.7398872375488,54.3503265380859
AUT,1981,72.5646362304688,76.9563217163086,68.1729278564453,62.5076904296875,59.7797775268555,65.235595703125,65.324821472168,54.7459716796875,75.9036560058594,59.6905632019043,64.813591003418,54.5675354003906
AUT,1982,72.5442581176758,76.922966003418,68.1655502319336,62.2706832885742,58.9925727844238,65.5487899780274,64.6722106933594,53.1940231323242,76.150390625,59.8691558837891,64.7911148071289,54.9472007751465
AUT,1983,72.6188659667969,76.5313415527344,68.7063980102539,61.5565299987793,57.2053871154785,65.9076766967774,64.0534210205078,52.0510406494141,76.0558013916016,59.0596389770508,62.359733581543,55.7595405578613
AUT,1984,73.501838684082,77.7446594238281,69.2590103149414,63.0640068054199,59.6135673522949,66.5144729614258,65.4392547607422,54.621711730957,76.2568130493164,60.6887741088867,64.6054229736328,56.7721252441406
AUT,1985,74.2831726074219,79.1750793457031,69.3912734985352,64.8151550292969,62.5837478637695,67.0465621948242,66.4942779541016,56.2324256896973,76.7561264038086,63.1360321044922,68.9350738525391,57.3369865417481
AUT,1986,75.846076965332,78.0981521606445,73.5940017700195,65.4417037963867,59.6619300842285,71.2214736938477,64.4285278320313,52.1666221618652,76.6904296875,66.4548721313477,67.1572265625,65.7525177001953
AUT,1987,76.2963333129883,78.2001647949219,74.3924865722656,66.1230545043945,58.9842147827149,73.2618865966797,64.0418930053711,51.0261192321777,77.0576705932617,68.204216003418,66.9423294067383,69.4660949707031
AUT,1988,75.3128356933594,78.1530075073242,72.4726791381836,66.0112915039063,58.8581275939941,73.1644668579102,64.5284576416016,52.1593360900879,76.8975830078125,67.4941329956055,65.5569229125977,69.4313430786133
AUT,1989,75.4805755615234,78.943229675293,72.0179214477539,67.8847274780274,60.7137222290039,75.0557479858399,65.4683532714844,53.8844375610352,77.0522842407227,70.3011093139649,67.5430068969727,73.0592041015625
AUT,1990,75.8018569946289,78.9463806152344,72.6573333740234,68.0381164550781,60.8479766845703,75.2282485961914,66.1381759643555,54.7153282165527,77.5610275268555,69.9380416870117,66.9806289672852,72.8954620361328
AUT,1991,79.4717483520508,78.8816680908203,80.0617980957031,69.7039260864258,60.7080688476563,78.6997756958008,66.0291442871094,53.8621635437012,78.1961135864258,73.3787155151367,67.5539779663086,79.2034378051758
AUT,1992,80.0241470336914,78.5605010986328,81.4877700805664,69.5227432250977,59.561637878418,79.4838562011719,65.7822799682617,52.3556823730469,79.2088775634766,73.2632217407227,66.7676086425781,79.7588195800781
AUT,1993,80.4291458129883,78.8537902832031,82.0044937133789,70.0841903686523,59.7942504882813,80.374137878418,65.9193954467774,51.3755035400391,80.4632949829102,74.2489852905274,68.2129898071289,80.2849807739258
AUT,1994,81.099006652832,79.5862884521484,82.6117248535156,71.1822662353516,61.2547874450684,81.109733581543,67.2433090209961,53.1042213439941,81.3824005126953,75.121208190918,69.4053497314453,80.8370819091797
AUT,1995,82.5310516357422,79.8834457397461,85.1786651611328,74.2727584838867,61.6673393249512,86.8781890869141,70.5747222900391,53.6836776733399,87.4657669067383,77.9708023071289,69.6510009765625,86.2906188964844
