iso2c,country,year,sl.ind.empl.zs,SL.AGR.EMPL.ZS,SL.SRV.EMPL.ZS,SL.EMP.SELF.ZS,SL.UEM.NEET.ZS,NV.IND.TOTL.ZS,NV.IND.MANF.ZS,BN.CAB.XOKA.GD.ZS,SP.POP.TOTL,ny.gdp.totl.rt.zs,NY.GDP.MKTP.KN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.MKTP.CN,NY.GDP.PCAP.CN,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.MKTP.PP.KD,NY.GDP.PCAP.PP.KD,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.PP.CD
AT,Austria,1976,,,,,,33.9985957592584,22.2527289877361,,7565525,0.613478478750688,139961623500,4.57844540313283,18499.9221468437,4.76336983899198,185368597102.924,24501.7493304065,56006920800,7402.9126597295,42959976068.1138,5678.38663782273,,,,
AT,Austria,1977,,,,,,33.6022058375951,21.6266196230841,,7568430,0.489101349580115,147071647100,5.07998079916527,19432.2530696591,5.03964781805539,194785286243.434,25736.5512059217,61911611400,8180.24496493989,51545759220.7143,6810.6277286986,,,,
AT,Austria,1978,,,,,,33.8423834520677,21.9883598722386,,7562305,0.454444675052048,146761835600,-0.210653450960095,19407.0241282255,-0.129830243272394,194374964316,25703.1373788812,65483748600,8659.23135869288,62052258694.2102,8205.46892702823,,,,
AT,Austria,1979,,,,,,32.9180396040663,21.3519437956606,,7549425,0.619201938248419,154623426600,5.35669983130138,20481.4839010918,5.53644786427436,204787047701.607,27126.1781793457,71830083700,9514.64299598976,73937296654.6577,9793.76530724628,,,,
AT,Austria,1980,,,,,,32.9373058806368,21.203226789704,,7549433,0.642215616921063,157300708700,1.73148542809489,20836.095730633,1.73137762504751,208332905591.186,27595.8347588735,77151789500,10219.5475474781,82058912465.4329,10869.5464236099,,,,
AT,Austria,1981,,,,,,32.5462609290072,20.753651112851,,7568710,0.56273140771331,157073732400,-0.144294518362841,20753.0388137477,-0.398620345956914,208032292628.472,27485.8321468879,82215015600,10862.4872138053,71034228097.4598,9385.24901832146,,,,
AT,Austria,1982,,,,,,31.7661310032735,20.1371639837869,,7574140,0.431835655606585,160232884700,2.01125436553259,21155.2578510564,1.93812116345225,212216351195.68,28018.5408766777,88359973700,11666.0074543116,71275287327.5793,9410.34722457985,,,,
AT,Austria,1983,,,,,,31.2968522487394,20.0603496826521,,7561910,0.436614959370038,164996749400,2.97308802055163,21819.4542648617,3.13962807015436,218525730110.73,28898.2188508896,94146775100,12450.1316598584,72121016623.2572,9537.40743056414,,,,
AT,Austria,1984,,,,,,30.1146222502124,19.6946868883898,,7561434,0.421858144143362,165081351900,0.0512752525777955,21832.0165063928,0.0575735826326707,218637779730.792,28914.8565907991,98857490400,13073.9077270264,67985345161.9558,8991.06507601017,,,,
AT,Austria,1985,,,,,,30.4474448148923,20.0172987519794,,7564985,0.425835896823869,169206204100,2.4986784712659,22367.02440256,2.45056564523235,224100834862.979,29623.4341327814,104329954100,13791.1647015824,69386774474.5943,9172.09676880976,,,,
AT,Austria,1986,,,,,,30.259284481884,20.0085392124175,,7569794,0.242891830289759,173100303500,2.30139280099837,22867.2409711546,2.23640194418245,229258275343.493,30285.9331896605,109880625300,14515.669158236,99036165209.5539,13083.0726978243,,,,
AT,Austria,1987,,,,,,29.7526220782216,19.4113957328281,,7574586,0.205205897329674,175449565400,1.35716798439928,23162.9247327841,1.29304519947331,232369695258.041,30677.5439948851,114085965300,15061.6766777749,124168442860.253,16392.7695665813,,,,
AT,Austria,1988,,,,,,29.5182639679518,19.5049655924625,,7585317,0.211384270224809,181232172900,3.29588020740688,23892.4982172795,3.14974681700203,240028322052.062,31643.8089603984,119645441000,15773.2947746284,133339397080.129,17578.6189397397,,,,
AT,Austria,1989,,,,,,29.2832194199124,19.4039900494035,,7619567,0.271711064802368,188276803000,3.88707478770178,24709.6459680714,3.42010175478813,249358402441.892,32726.0594259348,127981232400,16796.391763469,133105805928.237,17468.9461918554,,,,
AT,Austria,1990,,,,,,29.5608636535213,19.5811148378139,,7677850,0.257414538779142,196458638000,4.34564156052724,25587.7150504373,3.55354780679772,260194624813.073,33888.9955929164,137548696400,17915.0017778415,166463386663.439,21680.9896863626,240638425197.174,31341.9023811581,149275155516.776,19442.312042665
AT,Austria,1991,33.068000793457,7.3600001335144,59.5719985961914,13.8599996566772,,29.5052576493809,19.1717390821372,,7754891,0.162013878457911,203220012300,3.44162739232672,26205.3989282377,2.41398607332788,269149554294.002,34707.0712269201,147464359800,19015.6586082254,173794177725.398,22410.9117362704,248920303155.224,32098.4915397552,159634580985.146,20585.0193104127
AT,Austria,1992,32.8919982910156,7.05000019073486,60.0579986572266,13.8229999542236,,29.0158976209675,18.4796351573404,,7840709,0.122167282539856,207474473500,2.09352472320464,26461.1878211524,0.976092344998023,274784266755.542,35045.8442923391,155789391700,19869.2990264018,195078126346.106,24880.164070125,254131511242.855,32411.8024585346,166690625207.308,21259.6367506188
AT,Austria,1993,32.6199989318848,6.8899998664856,60.4900016784668,13.8579998016357,,28.303768454542,17.4602069396161,,7905633,0.120028266364146,208567468700,0.526809482420504,26382.1339417097,-0.298754084574909,276231856329.01,34941.143401042,160927978100,20356.1154559034,190379720927.481,24081.5278077646,255470300141.9,32314.9708748054,171538857189.149,21698.3076736738
AT,Austria,1994,32.4669990539551,7.19899988174438,60.3339996337891,13.7950000762939,,28.4134002148092,17.3565201137903,,7936118,0.119338114041414,213577507000,2.40211876340426,26912.0881267138,2.00876163457851,282867273580.389,35643.0276843652,168954605000,21289.3262171757,203535242741.838,25646.7006591684,261607000156.534,32964.1016119637,179410467643.814,22606.8296418745
AT,Austria,1995,32.101001739502,7.33599996566772,60.5629997253418,14.2519998550415,,28.851531988081,17.9058795218244,,7948278,0.11266721478706,219275720000,2.66798366552709,27587.8271998035,2.51091282812396,290414126234.635,36537.9930388237,176608750000,22219.7499886139,241038283062.645,30325.8495818396,268586632188.586,33791.8014680143,188059505212.909,23660.4086083689
AT,Austria,1996,30.2980003356934,7.42799997329712,62.273998260498,14.4350004196167,,28.7520088650827,17.6322092892288,,7959017,0.136627536771256,224427680000,2.34953509672661,28197.9143906842,2.21143617604285,297237508056.37,37346.0074348842,182540880000,22935.1036692094,237250948791.266,29809.0767730821,274897169376.973,34539.0855902146,195228382095.631,24529.2078275032
AT,Austria,1997,29.6420001983643,6.89200019836426,63.4650001525879,13.8520002365112,,28.6763839380903,17.8035346476776,,7968041,0.12219735306099,229126290000,2.09359647615659,28755.661523328,1.97797299798917,303460462050.854,38084.7013777733,188723760000,23685.0889697982,212790348404.555,26705.4785993891,280652406828.103,35222.2593769414,202580031580.043,25424.0699288625
AT,Austria,1998,29.5639991760254,6.4850001335144,63.951000213623,13.7980003356934,,28.5106628527989,17.7267690030401,,7976789,0.0845062397673223,237332290000,3.58143100907364,29752.8604555041,3.46783513002163,314328689139.021,39405.4160313155,196346610000,24614.7428495351,218259904401.956,27361.8751106437,290703779153.957,36443.7092612023,212777732022.22,26674.609548055
AT,Austria,1999,29.757999420166,6.23299980163574,64.0090026855469,13.6759996414185,,28.4285921580405,17.8909326625414,,7992324,0.0890888170780808,245772610000,3.55633024060906,30751.0819130956,3.35504365734644,325507255365.782,40727.4849425251,203850580000,25505.7953106005,217185787342.851,27174.2971559775,301042165562.602,37666.411617272,220639956878.73,27606.4830303088
AT,Austria,2000,30.0249996185303,6.05100011825562,63.9249992370605,13.5120000839233,,28.2848020340956,18.2149670740326,,8011566,0.148088585316796,254069210000,3.37572197324998,31712.802465835,3.12743647673042,336495475309.688,42001.2111626726,213606480000,26662.2630332197,196799778883.361,24564.4582948404,311204512094.246,38844.404713666,235380338183.681,29380.0660424793
AT,Austria,2001,29.3649997711182,5.80499982833862,64.8300018310547,13.4200000762939,,28.2087461435225,18.3410929949555,,8042293,0.157050297955533,257288700000,1.26717046902299,31991.9580149592,0.88026136896886,340759446602.411,42370.9315990366,220525080000,27420.6721888894,197337879194.631,24537.5142629883,315148003769.772,39186.3370023663,238978523638.302,29715.2222181289
AT,Austria,2002,28.8519992828369,5.75899982452393,65.3889999389648,13.5,,27.3880784820285,17.7267828085994,,8081957,0.158271499809907,261537950000,1.65154940733892,32360.7203057378,1.15267183898602,346387257223.224,42859.3293954947,226735220000,28054.4947220085,213377771503.858,26401.7454564357,320352828758.272,39638.0268737228,251984858807.042,31178.6933297272
AT,Austria,2003,28.9190006256104,5.50400018692017,65.5770034790039,13.03600025177,,27.498379858473,17.4531746104997,,8121423,0.154288011285792,264000260000,0.941473311999275,32506.6506202177,0.450948906888087,349648400806.147,43052.6030729033,231862460000,28549.4869556727,261695778781.038,32222.8972411655,323368865145.266,39816.7741226218,260767786871.326,32108.632547686
AT,Austria,2004,26.7329998016357,4.90199995040894,68.3649978637695,12.548999786377,9.64000034332275,27.3737678166123,17.3364603484259,,8171966,0.13052839780627,271220980000,2.73511851844388,33189.1958434482,2.09970947546969,359211698966.039,43956.5826590614,242348260000,29656.0533903347,300904221504.842,36821.5214680093,332213386858.736,40652.8107017009,275747014094.09,33743.0447084692
AT,Austria,2005,27.5750007629395,5.27400016784668,67.1510009765625,12.9530000686646,8.61999988555908,27.0742425967636,17.4078184700008,1.97644094563285,8227829,0.153434101897526,277307360000,2.24406681223554,33703.5881518685,1.54987879443253,367272649488.203,44637.8564124514,254075030000,30879.9599505532,315974418604.651,38403.1338770715,339668477219.036,41282.8799941074,288086851811.747,35013.7140443423
AT,Austria,2006,28.1609992980957,5.24399995803833,66.5940017700195,13.0480003356934,7.80999994277954,27.2593708304078,17.8234362098009,3.27214349013809,8268641,0.197754636192354,286885670000,3.45404103230437,34695.6253149701,2.94341705883517,379958397501.957,45951.7346927938,267824450000,32390.3831355116,335998557270.104,40635.2818159724,351400765795.985,42498.0073262324,311091706759.529,37623.0757580996
AT,Austria,2007,27.3239994049072,5.52699995040894,67.1490020751953,13.6879997253418,7.44000005722046,27.5726388212438,18.1536476227364,3.79499453204741,8295487,0.23176120229063,297579090000,3.72741517552969,35872.4074909647,3.39173070181498,394121024471.145,47510.2937863859,283977970000,34232.8268370501,388691445387.353,46855.7717452095,364498931267.192,43939.4252883758,326780308348.043,39392.5405883999
AT,Austria,2008,26.2350006103516,5.2519998550415,68.5130004882813,13.5430002212524,7.38000011444092,26.9602141407645,17.4174657293044,4.48671412576835,8321496,0.266559323296816,301925010000,1.46042519318141,36282.5398221666,1.14330863158605,399876867204.146,48053.4830761375,293761910000,35301.5743803758,430294287388.311,51708.7657541758,369822165488.295,44441.7885303671,343812802543,41316.225176699
